,brand,"100,000","14,999","149,999","199,999","200,000","24,999","34,999","49,999","74,999","99,999",highest_income,lowest_income
31,Bai,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
32,Bakers Joy,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
33,Bar S,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
34,Barilla,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
35,Barqs,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
36,Bear Creek,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
37,Bear Naked,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
38,Beech-Nut,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
39,Bertolli,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
40,Betty Crocker,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
41,Biotene,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
42,Bisquick,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
43,Blue Bonnet,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
44,Blue Buffalo,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
45,Blue Bunny,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
46,Boars Head,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
47,Bobs Red Mill,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
48,Boca,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
49,Borden,21.36263866067004,16.438900802285414,45.498424975468474,17.19485384533036,17.619251249628142,34.22720366744021,33.54072728102342,45.11117871302753,61.3308228179931,42.986717010981984,"74,999","14,999"
