,categories_textform,short_name,price,sales_count
2460,nan,Scent Deodorant,6.69,
2461,nan,Align Advanced Prebiotic Supplement,26.99,
2462,BREAD & BAKERY,Olay Deep Hydrating Eye Gel,30.99,3.0
2463,FROZEN FOOD,Eggo Frozen Waffles,3.54,774.0
2464,nan,Gerber,2.34,
2465,nan,Sunkist Orange Soda,2.88,
2466,GROCERIES,Nervive,24.49,144.0
2467,nan,Caffeine-Free,2.88,
2468,PERSONAL CARE & PHARMACY,Deodorant,8.49,111.0
2469,GROCERIES,Organic Cold Pressed Pure Lime Juice,6.99,5.0
2470,DAIRY,Cheez-It Cheese Crackers,6.59,305.0
2471,GROCERIES,Gillette Mach3,9.99,60.0
2472,PERSONAL CARE,Parodontax Teeth Whitening Toothpaste,6.79,4.0
2473,PANTRY,Cinnamon Toast,5.99,47.0
2474,nan,Head,8.99,14.0
2475,GROCERIES,Olay Micro-Exfoliating Wet Cleansing Cloths,13.49,11.0
2476,BABY ITEMS,Sensodyne Sensitive Repair Protect Whiten Toothpaste,6.49,0.0
2477,GROCERIES,Spice Invisible,7.99,41.0
2478,nan,Caffeine-Free,2.88,
2479,nan,Coca-Cola Vanilla Soda Soft Drink,14.99,
2480,nan,Spice Hardest Working Collection Anti-Perspirant Deodorant,7.99,
2481,BABY ITEMS,Olay Lotion Moisturizer,11.99,118.0
2482,nan,Zero Sugar Root Beer Soda,2.88,
2483,nan,Mountain Dew Zero Sugar Citrus Soda Pop,4.98,
2484,nan,Coffee Dark Roast Ground Coffee,11.03,
2485,nan,Squirt Caffeine-Free Soda,11.34,
2486,GROCERIES,Clinical Strength Smooth,8.99,185.0
2487,nan,Lipton Iced Tea Mix Black Tea,10.83,
2488,GROCERIES,Gillette Fusion5 Proglide Men,24.99,355.0
2489,nan,Lipton Iced Tea Mix Black Tea,10.83,
2490,GROCERIES,Febreze Odor-Eliminating Fade Defy,7.49,268.0
2491,PERSONAL CARE,Tom,5.99,0.0
2492,GROCERIES,Crest Leave-On Teeth Whitening,66.99,74.0
2493,BEVERAGES,Diet,24.06,0.0
2494,nan,Propel Watermelon,1.0,
2495,nan,Pringles Potato Crisps Chips,1.74,
2496,nan,Diet,2.88,
2497,nan,Coco Joy,2.88,
2498,GROCERIES,Kellogg,3.54,
2499,GROCERIES,Invisible,7.99,251.0
2500,GROCERIES,Febreze Odor-Eliminating Fade Defy,7.49,185.0
2501,GROCERIES,Excedrin Migraine Caplets,15.99,113.0
2502,nan,Nuun Sport Electrolyte Drink Enhancer,5.98,
2503,BABY ITEMS,Olay Lotion Moisturizer,11.99,118.0
2504,GROCERIES,Swedish Fish Mini Soft,7.24,328.0
2505,GROCERIES,Invisible,7.99,251.0
2506,nan,Lemon Lime Soda Pop,1.0,
2507,nan,Pringles Potato Crisps Chips,1.74,11.0
2508,nan,Bull Energy Drink,8.87,
2509,GROCERIES,Clinical Strength Clear Gel,11.49,218.0
2510,DAIRY,Cheez-It Cheese Crackers,2.54,894.0
2511,GROCERIES,Olay Regenerist Micro-Sculpting Serum,37.99,9.0
2512,nan,Coca-Cola Classic,1.67,
2513,GROCERIES,Fanta Orange Soda,2.75,0.0
2514,nan,Diet Dr Pepper Soda,10.18,
2515,nan,Pringles Potato Crisps Chips,1.74,
2516,nan,Barq,6.18,
2517,nan,Bull Energy Drink,8.87,
2518,nan,Lipton Diet,18.96,
2519,DAIRY,Cheez-It Cheese Crackers,2.54,894.0
2520,GROCERIES,Gillette Fusion5 Proglide Men,24.99,355.0
2521,GROCERIES,Olay Micro-Exfoliating Wet Cleansing Cloths,13.49,11.0
2522,nan,Diet Mountain Dew Citrus Soda Pop,3.33,
2523,GROCERIES,Clear Gel Antiperspirant Deodorant,8.49,1.0
2524,nan,Spice Hardest Working Collection Anti-Perspirant Deodorant,7.99,
2525,VITAMINS & SUPPLEMENTS,Centrum Multigummies Men,20.99,182.0
2526,GROCERIES,Clinical Strength Clear Gel,11.49,218.0
2527,BREAD & BAKERY,Olay Deep Hydrating Eye Gel,30.99,3.0
2528,nan,Coco Joy,2.88,
2529,HEALTH & MEDICINE,Preparation H Hemorrhoid Relief Ointment Tube,12.49,214.0
2530,GROCERIES,Crest Whitening Therapy Charcoal Deep Clean Fluoride Toothpaste,6.99,328.0
2531,BABY ITEMS,Sensodyne Sensitive Repair Protect Whiten Toothpaste,6.49,0.0
2532,FROZEN FOOD,Eggo Frozen,3.54,55.0
2533,HOME THEATER & AUDIO,Lg Ubk80,185.98,1.0
2534,BEVERAGES,Oral-B Glide Pro-Health Cool Mint Dental Floss,9.49,442.0
2535,BEVERAGES,Folgers Coffee,15.49,1779.0
2536,nan,Hp Stream,225.98,
2537,nan,Kind Bars,10.79,
2538,DAIRY,Olay,27.99,110.0
2539,DAIRY,Olay Firming Cream,7.49,131.0
2540,GROCERIES,Sandisk Black Ultra,38.98,36.0
2541,GROCERIES,Febreze Odor-Eliminating Fade Defy,7.49,268.0
2542,nan,Centrum Multivitamin,22.99,
2543,nan,Lipton,18.5,
2544,nan,Centrum Multivitamin,22.99,
2545,nan,Coca-Cola Zero Sugar Soda Pop,4.88,
2546,nan,Coffee Dark Roast Ground Coffee,11.03,
2547,nan,Lipton,2.48,
2548,nan,Rockstar Punched,5.28,
2549,GROCERIES,Oral-B Bacteria Blast Manual Toothbrush,2.49,264.0
2550,COOKIES,Tea Tree Mint Toothpaste,5.09,8.0
2551,BEVERAGES,Honest Kids,3.6,2.0
2552,BREAD & BAKERY,Kellogg,2.74,81.0
2553,BABY ITEMS,Burt,4.29,223.0
2554,nan,Lipton Iced Tea Mix Black Tea,10.83,
2555,nan,Kellogg,3.24,2.0
2556,nan,Skin Ultra Sensitive Shave Cream,8.99,
2557,VITAMINS & SUPPLEMENTS,Centrum Multivitamin,21.99,0.0
2558,nan,Latte,12.99,
2559,DAIRY,Razer Black Naga X Ergonomic Mmo Gaming,71.98,70.0
2560,nan,Spice Hardest Working Collection Anti-Perspirant Deodorant,7.99,
2561,nan,Diet,2.88,
2562,GROCERIES,Gillette Mach3,9.99,60.0
2563,BEAUTY,Sensodyne Pronamel,14.99,0.0
2564,nan,7Up Cherry,18.75,
2565,nan,Organic,4.99,
2566,GROCERIES,Febreze Odor-Eliminating,4.49,150.0
2567,GROCERIES,Crest Leave-On Teeth Whitening,66.99,74.0
2568,nan,Mountain Dew Citrus Soda Pop,3.33,
2569,nan,Sunkist Grape Soda,17.99,
2570,nan,Diet Pepsi Cola Soda Pop,10.18,
2571,GROCERIES,Clinical Strength Clear Gel,11.49,218.0
2572,GROCERIES,Oral-B Bacteria Blast Manual Toothbrush,2.49,264.0
2573,nan,Flushes,4.99,
2574,HEALTH CARE,Preparation H Anti Itch Cream,12.49,74.0
2575,nan,Zero Sugar Root Beer Soda,2.88,
2576,nan,Propel Watermelon Flavored Enhanced,5.98,
2577,BEVERAGES,Honest Kids,3.6,2.0
2578,COOKIES,Spice Deodorant,7.49,37.0
2579,GROCERIES,Tide,8.49,519.0
2580,DAIRY,Olay Firming Cream,7.49,131.0
2581,nan,Bodyarmor Sport Drink,1.24,
2582,GROCERIES,Olay Micro-Exfoliating Wet Cleansing Cloths,13.49,11.0
2583,BEVERAGES,Oral-B Glide Pro-Health Cool Mint Dental Floss,9.49,442.0
2584,nan,Pepsi Cola,10.18,
2585,nan,Diet Dr Pepper Soda,10.18,
2586,nan,Bull Energy Drink,8.87,
2587,nan,Nuun Sport Electrolyte Drink Enhancer,5.98,
2588,HEALTH CARE,Advil Pain Reliever,3.59,31.0
2589,nan,Kellogg,3.24,2.0
2590,nan,Pringles Potato Crisps Chips,2.24,
2591,BABY ITEMS,Burt,4.29,223.0
2592,nan,Olay Moisture Ribbons,6.49,
2593,nan,Nature,5.04,
2594,nan,Kellogg,3.54,40.0
2595,nan,Pringles Potato Crisps Chips,2.24,
2596,nan,Organic Pink,3.49,
2597,nan,Coco Joy,2.88,
2598,nan,Diet Mountain Dew Citrus Soda Pop,3.33,
2599,nan,Pringles Potato Crisps Chips,2.24,
2600,COLD & ALLERGY ESSENTIALS,Advil Coated Tablets Pain Ibuprofen,9.39,0.0
2601,nan,Advil Coated Caplets,5.99,
2602,nan,Sunkist Strawberry Lemonade Soda Cans,3.98,
2603,nan,Bull Energy Drink,8.87,
2604,nan,Coca-Cola Zero Sugar Soda Pop,4.88,
2605,nan,Zero Sugar Root Beer Soda,2.88,
2606,nan,Pepsi Cola Soda Pop,3.33,
2607,SNACKS & CANDY,Pringles Potato Crisps Chips,1.74,466.0
2608,nan,Zero Sugar Root Beer Soda,2.88,
2609,nan,Dunkin Original Blend Whole Bean Coffee,13.92,
2610,PERSONAL CARE,Poligrip Zinc Free Original Denture Adhesive Cream,6.49,0.0
2611,nan,Cactus Cooler Orange Pineapple Soda Pop,20.78,
2612,FROZEN FOOD,Eggo Frozen Waffles,3.54,1527.0
2613,GROCERIES,Razer Black Blackshark V2 Pro Wireless Gaming Headset,159.98,35.0
2614,GROCERIES,Corsair Black Medium Gaming,16.99,39.0
2615,nan,Pepsi Cola Soda Pop,3.33,
2616,SNACKS & CANDY,Pringles Potato Crisps Chips,1.74,466.0
2617,COOKIES,Orgain Organic,19.59,114.0
2618,nan,Spray Cran- Grape Juice Drink,4.32,
2619,nan,Excedrin Extra Strength Headache Relief Caplets,7.99,
2620,nan,Zero Sugar Lemon Lime Soda,2.88,
2621,nan,Glaceau Smartwater,14.86,
2622,nan,Thoughtfully,22.49,
2623,nan,Pringles Potato Crisps Chips,1.74,
2624,GROCERIES,Spice Deodorant Twin Pack,13.09,116.0
2625,nan,Ibc Cream Soda Made,3.24,
2626,nan,Lemon Lime Soda Pop,1.0,
2627,GROCERIES,Spice Aqua Reef Scent Deodorant,7.99,188.0
2628,GROCERIES,Sunkist Orange Soda,3.98,0.0
2629,nan,Glaceau Smartwater,14.86,
2630,BEAUTY,Sensodyne Pronamel,14.99,0.0
2631,GROCERIES,Tom,5.99,7.0
2632,nan,Zz Bloody Mary Mix,4.48,
2633,nan,Crush Grape Soda,18.28,
2634,nan,Mountain Dew Citrus Soda Pop,3.33,
2635,nan,Cactus Cooler Orange Pineapple Soda Pop,20.78,
2636,BABY ITEMS,Sensodyne Sensitive Repair Protect Whiten Toothpaste,6.49,0.0
2637,nan,Cactus Cooler Orange Pineapple Soda Pop,20.78,
2638,nan,Spray Cran- Grape Juice Drink,4.32,
2639,GROCERIES,Electronic,19.99,43.0
2640,nan,Diet Mountain Dew Citrus Soda Pop,3.33,
2641,nan,Rc Cola Soda,18.2,
2642,PERSONAL CARE,Gillette,26.99,116.0
2643,nan,Kellogg,3.54,40.0
2644,nan,Kellogg,3.24,2.0
2645,nan,Sunkist Orange Soda,2.88,
2646,nan,Pringles Potato Crisps Chips,1.74,
2647,SEXUAL WELLNESS,Nature,10.99,0.0
2648,GROCERIES,Tide Liquid Laundry Detergent,12.99,946.0
2649,COOKIES,Orgain Organic,19.59,114.0
2650,PERSONAL CARE,Gillette,26.99,116.0
2651,GROCERIES,Rapid,11.89,0.0
2652,COOKIES,Olay Ultimate Eye Cream,30.99,225.0
2653,HEALTH CARE,Advil Pm Pain Reliever,5.09,0.0
2654,nan,Honeywell Black Heat-Genius Ceramic,74.98,
2655,GROCERIES,Razer Gaming,50.98,76.0
2656,nan,Polar Seltzer,2.94,
2657,nan,Bull Energy Drink,8.87,
2658,nan,Pringles Potato Crisps Chips,1.74,
2659,nan,Zero Sugar Lemon Lime Soda,2.88,
2660,GROCERIES,Crest Whitening Therapy Charcoal Deep Clean Fluoride Toothpaste,6.99,328.0
2661,GROCERIES,Rapid,11.89,0.0
2662,nan,Pringles Potato Crisps Chips,1.74,
2663,FROZEN FOOD,Eggo Frozen Waffles,3.54,676.0
2664,DAIRY,Olay Firming Cream,7.49,131.0
2665,PERSONAL CARE,Poligrip Zinc Free Original Denture Adhesive Cream,6.49,0.0
2666,HEALTH CARE,Cytosport Muscle Milk Pro,28.89,0.0
2667,nan,Pure,14.71,
2668,GROCERIES,Corsair Ll,35.98,42.0
2669,GROCERIES,Swedish Fish Mini Soft,7.24,328.0
2670,PERSONAL CARE,Sensodyne Repair,8.49,36.0
2671,DAIRY,Cheez-It Cheese Crackers,2.54,894.0
2672,nan,Cheez-It Cheese Crackers,4.04,
2673,GROCERIES,Kellogg,3.54,
2674,nan,Schweppes Caffeine-Free Ginger Ale,18.75,
2675,nan,Sunkist Orange Soda,2.88,
2676,GROCERIES,Maxwell,6.28,0.0
2677,nan,Rc Cola Soda,18.2,
2678,nan,Lemon Lime Soda Pop,1.0,
2679,BABY ITEMS,Olay Lotion Moisturizer,11.99,118.0
2680,GROCERIES,Pampers Diapers Size,32.99,452.0
2681,GROCERIES,Kellogg,3.54,
2682,DAIRY,Pringles Potato Crisps Chips,1.74,33.0
2683,nan,Coffee Dark Roast Ground Coffee,11.03,
2684,nan,Sunkist Orange Soda Pop,1.0,
2685,HEALTH & MEDICINE,Advil Pm Pain Reliever,11.49,0.0
2686,nan,Excedrin Migraine Pain Relief Caplets,3.69,
2687,SNACKS & CANDY,Pringles Potato Crisps Chips,1.74,466.0
2688,PERSONAL CARE,Spice Aluminum Free Body Spray,8.49,70.0
2689,COLD & ALLERGY ESSENTIALS,Advil Coated Tablets Pain Ibuprofen,9.39,0.0
2690,nan,Zero Sugar Lemon Lime Soda,2.88,
2691,HEALTH & MEDICINE,Vicks Pure Zzzs De-Stress,19.99,1.0
2692,nan,Dr Pepper Soda,10.18,
2693,nan,Gillette Skin Ultra Sensitive Shave Gel,8.99,
2694,nan,Bull Energy Drink,8.87,
2695,nan,Lemon Lime Soda Pop,1.0,
2696,GROCERIES,Crest Leave-On Teeth Whitening,66.99,74.0
2697,CAR ELECTRONICS & GPS,Sirius Xm Satellite,135.98,1.0
2698,GROCERIES,Spice Invisible,7.99,41.0
2699,GROCERIES,Nervive,24.49,144.0
2700,BEVERAGES,Tampax Pearl,10.99,116.0
2701,BABY ITEMS,Boiled Baby Clams,3.99,2.0
2702,PERSONAL CARE,Poligrip Additive Free Denture Adhesive Cream,6.49,0.0
2703,nan,Kellogg,3.24,2.0
2704,BABY ITEMS,Olay Anti-Aging Face Moisturizer,27.99,139.0
2705,VITAMINS & SUPPLEMENTS,Align Probiotic Supplement,21.99,3.0
2706,nan,Sunkist Orange Soda Pop,46.43,
2707,nan,Crush Grape Soda,18.28,
2708,GROCERIES,Olay Cleansing,10.99,3.0
2709,nan,Head,8.99,14.0
2710,BABY ITEMS,Burt,4.29,223.0
2711,nan,Gerber,2.34,
2712,nan,Advil Coated Caplets,13.29,
2713,BEVERAGES,Oral-B Glide Pro-Health Cool Mint Dental Floss,9.49,442.0
2714,nan,Kellogg,3.54,40.0
2715,nan,Kellogg,3.24,2.0
2716,nan,Coca-Cola Zero Sugar Soda Pop,4.88,
2717,nan,Longwear Eyeliner,10.99,
2718,GROCERIES,Oral-B,8.99,76.0
2719,COOKIES,Smartypants Prenatal,20.99,164.0
2720,GROCERIES,Crest Pro-Health Advanced Gum Protection Toothpaste,2.99,554.0
2721,COOKIES,Deodorant,8.49,45.0
2722,nan,Trident Spearmint Rush Sugar Free Gum,5.49,
2723,BABY ITEMS,Burt,4.29,223.0
2724,nan,Organic Giggles Value Size,10.49,
2725,nan,Glaceau Smartwater,14.86,
2726,GROCERIES,Trident,3.49,11.0
2727,DAIRY,Olay,27.99,110.0
2728,nan,Kellogg,5.24,27.0
2729,SEXUAL WELLNESS,Nature,10.19,0.0
2730,nan,Steamed,3.29,
2731,nan,Rc Cola Soda,18.2,
2732,HEALTH CARE,Advil Pm Pain Reliever,12.79,0.0
2733,GROCERIES,Tide,8.49,519.0
2734,nan,Kellogg,3.54,40.0
2735,COOKIES,Organic Dark Chocolate Whey Protein,29.69,3.0
2736,nan,Kellogg,3.24,2.0
2737,nan,Topo Chico Sparkling,10.58,
2738,PERSONAL CARE,Poligrip Additive Free Denture Adhesive Cream,6.49,0.0
2739,nan,Sunkist Zero Sugar Orange Soda,2.88,
2740,nan,Dunkin Original Blend Whole Bean Coffee,13.92,
2741,GROCERIES,Clinical Strength Clear Gel,11.49,218.0
2742,HEALTH CARE,Advil Pm Pain Reliever,12.79,0.0
2743,GROCERIES,Olay,10.49,44.0
2744,GROCERIES,Spice Invisible,7.99,39.0
2745,HEALTH CARE,Advil Pm Pain Reliever,12.79,0.0
2746,nan,Spray Cran- Grape Juice Drink,4.32,
2747,GROCERIES,Kellogg,3.54,
2748,BEVERAGES,Tampax Pearl,10.99,116.0
2749,nan,Diet,2.88,
2750,nan,Excedrin Extra Strength Headache Relief Caplets,3.79,
2751,BABY ITEMS,Olay Anti-Aging Face Moisturizer,27.99,139.0
2752,nan,Preparation H Multi Symptom Hemorrhoid Cream Tube,7.39,
2753,GRAINS,Tomato Herb Pasta Sauce,7.39,8.0
2754,COOKIES,Pringles Potato Crisps Chips,1.74,89.0
2755,nan,Cactus Cooler Orange Pineapple Soda Pop,20.78,
2756,nan,Polar Seltzer,2.94,
2757,GROCERIES,Cedarwood Deodorant,2.49,4.0
2758,nan,Zz Bloody Mary Mix,4.48,
2759,GROCERIES,Organic Mango,3.99,6.0
2760,nan,Cream Soda,18.2,
2761,nan,Larabar Cinnamon Swirl,5.59,
2762,nan,Diet Pepsi Cola Soda Pop,10.18,
2763,GROCERIES,Almond Milk Yogurt,4.49,6.0
2764,COOKIES,Highly Caffeinated Exfoliating Body,7.59,2.0
2765,DELI,Crest Pro-Health Intense Mouthwash,5.29,73.0
2766,BEVERAGES,Oral-B Glide Pro-Health Cool Mint Dental Floss,9.49,442.0
2767,nan,7Up Cherry,18.75,
2768,nan,Zagg Black Pro Stylus,58.98,
2769,nan,Orange Vanilla Conditioner,10.99,
2770,BEVERAGES,Propel Electrolyte,1.0,320.0
2771,nan,Bull Energy Drink,8.87,
2772,nan,Sunkist Orange Soda Pop,1.0,
2773,GROCERIES,Olay Regenerist Micro-Sculpting Cream Face Moisturizer,10.49,67.0
2774,nan,Zz Bloody Mary Mix,4.48,
2775,nan,Gerber,2.34,
2776,nan,Barq,6.18,
2777,BABY ITEMS,Sensodyne Sensitive Repair Protect Whiten Toothpaste,6.49,0.0
2778,nan,Pringles Potato Crisps Chips,2.24,
2779,nan,Lipton,18.5,
2780,nan,Kellogg,3.24,2.0
2781,PERSONAL CARE,Ultra Thin Pads Unscented Size,9.99,237.0
2782,COOKIES,Kellogg,4.04,89.0
2783,FROZEN FOOD,Eggo Frozen Waffles,3.54,1527.0
2784,nan,Pringles Potato Crisps Chips,1.74,
2785,COLD & ALLERGY ESSENTIALS,Advil Coated Tablets Pain Ibuprofen,10.39,0.0
2786,BABY ITEMS,Sensodyne Sensitive Repair Protect Whiten Toothpaste,6.49,0.0
2787,nan,Pringles Potato Crisps Chips,1.74,
2788,nan,Apple,81.98,
2789,GROCERIES,Spice Invisible,7.99,39.0
2790,nan,Caffeine-Free,25.0,
2791,nan,Mountain Dew Zero Sugar Citrus Soda Pop,4.98,
2792,nan,Flex Cap Laguna,35.89,
2793,GROCERIES,Pure,10.99,89.0
2794,BEVERAGES,Lime Body Lotion,11.79,3.0
2795,HEALTH CARE,Preparation H Hemorrhoid Cooling Gel Tube,12.49,80.0
2796,FROZEN FOOD,Eggo Frozen,3.54,55.0
2797,GROCERIES,Bower,14.99,2.0
2798,GROCERIES,Trident,3.49,11.0
2799,nan,Coco Joy,2.88,
2800,CELL PHONE ACCESSORIES,Speck Clear Presidio Perfect,26.98,0.0
2801,nan,Nature,5.04,
2802,DAIRY,Pringles Potato Crisps Chips,1.74,33.0
2803,nan,Nuun Sport Electrolyte Drink Enhancer,5.98,
2804,nan,Sunkist Orange Soda,2.88,
2805,HEALTH CARE,Advil Pm Pain Reliever,5.09,0.0
2806,nan,Larabar,7.29,
2807,nan,Lipton,2.48,
2808,nan,Cream Soda,18.2,
2809,nan,Muscle Milk Genuine Protein Shake,6.98,
2810,nan,Jumex,21.95,
2811,nan,Apple Black Watch,174.99,
2812,nan,Lipton Diet,18.96,
2813,GROCERIES,Rapid,11.89,0.0
2814,GROCERIES,Sunkist Orange Soda,3.98,0.0
2815,HEALTH CARE,Advil Pain Reliever,3.59,31.0
2816,BEVERAGES,Otterbox Black Defender Pro,41.98,37.0
2817,nan,Spicy Queso Blanco Style,7.79,
2818,nan,Olay Moisture Ribbons,6.49,
2819,CAR ELECTRONICS & GPS,Scosche Magnetic,24.99,37.0
2820,nan,Kellogg,3.24,2.0
2821,nan,Coca-Cola Vanilla Soda Soft Drink,14.99,
2822,nan,Bull Energy Drink,8.87,
2823,nan,Coca-Cola Vanilla Soda Soft Drink,14.99,
2824,nan,Bull Energy Drink,8.87,
2825,GROCERIES,Fanta Orange Soda,2.75,0.0
2826,nan,Ibc Cream Soda Made,3.24,
2827,nan,Lipton,18.5,
2828,SNACKS & CANDY,Pringles Potato Crisps Chips,1.74,466.0
2829,FITNESS & PERSONAL CARE,Philips Sonicare Simplyclean,37.98,34.0
2830,nan,Mello Yello Citrus Flavored Soda Soft Drinks,26.39,
2831,PERSONAL CARE,Sensodyne Extra Whitening Sensitive Toothpaste,13.99,0.0
2832,PERSONAL CARE,Sensodyne Repair,8.49,36.0
2833,nan,Logitech Keyboard,20.99,
2834,GROCERIES,Pampers Diapers Size,32.99,452.0
2835,nan,Bull Energy Drink,8.87,
2836,nan,7Up Cherry,18.75,
2837,SNACKS & CANDY,Pringles Potato Crisps Chips,1.74,466.0
2838,HEALTH CARE,Advil Pain Reliever,3.59,31.0
2839,nan,Diet Dr Pepper Soda,10.18,
2840,nan,Bull Energy Drink,8.87,
2841,nan,Coco Joy,2.88,
2842,BEVERAGES,Otterbox Black Defender Pro,41.98,37.0
2843,DAIRY,Pampers,47.79,21.0
2844,nan,Cheez-It Cheese Crackers,4.04,
2845,nan,Sensodyne Sensitive Teeth Rapid Relief Toothpaste,6.49,
2846,nan,Propel Watermelon,1.0,
2847,nan,Bull Energy Drink,8.87,
2848,nan,Kellogg,3.54,40.0
2849,DAIRY,Corsair Black Vengeance Lpx,70.98,34.0
2850,nan,Pringles Potato Crisps Chips,1.74,
2851,GROCERIES,Larabar Lemon,14.39,59.0
2852,PERSONAL CARE & PHARMACY,Deodorant,8.59,111.0
2853,nan,Swiffer Sweeper Xl Wet Mopping Pad,12.49,
2854,nan,Mello Yello Citrus Flavored Soda Soft Drinks,26.39,
2855,COOKIES,Sandisk Extreme,135.98,36.0
2856,nan,Pringles Potato Crisps Chips,1.74,
2857,nan,Kellogg,3.24,2.0
2858,FROZEN FOOD,Eggo Frozen Waffles,3.54,676.0
2859,COMPUTER & TECH ACCESSORIES,Sandisk Ultra Dual,29.98,34.0
2860,nan,Cheez-It Cheese Crackers,4.04,
2861,nan,Sunkist Orange Soda Pop,46.43,
2862,CAR ELECTRONICS & GPS,Rexing Black V1P,155.98,0.0
2863,nan,Bull Energy Drink,8.87,
2864,GROCERIES,Zarbee,8.99,389.0
2865,nan,Pringles Potato Crisps Chips,1.74,11.0
2866,nan,Bodyarmor Sport Drink,1.24,
2867,nan,Pringles Potato Crisps Chips,1.74,
2868,BREAKFAST & CEREAL,Kellogg,4.04,45.0
2869,nan,Sensodyne Pronamel Repair Whitening Sensitivity Toothpaste,8.49,
2870,nan,Bull Energy Drink,8.87,
2871,nan,Sunkist Orange Soda Pop,1.0,
2872,GROCERIES,Fanta Orange Soda,2.75,0.0
2873,nan,Propel Watermelon Flavored Enhanced,5.98,
2874,nan,Gerber,2.34,
2875,BEVERAGES,Diet,24.06,0.0
2876,nan,Pepsi Cola Soda Pop,12.0,
2877,nan,Sunkist Orange Soda Pop,46.43,
2878,nan,Squirt Caffeine-Free Soda,11.34,
2879,nan,Pringles Potato Crisps Chips,1.74,
2880,nan,Insignia,35.98,
2881,GROCERIES,Jlab Audio Talk,105.98,2.0
2882,HEALTH CARE,Advil Pain Reliever,3.59,31.0
2883,nan,Caffeine-Free,48.63,
2884,BABY ITEMS,Sensodyne Sensitive Repair Protect Whiten Toothpaste,6.49,0.0
2885,nan,Corsair Sabre Rgb Pro Wireless,112.98,
2886,nan,Diet Canada Dry Tonic,1.58,
2887,nan,Pringles Potato Crisps Chips,1.74,
2888,COOKIES,Orgain Organic,19.59,114.0
2889,HEALTH CARE,Advil Pm Pain Reliever,5.09,0.0
2890,GROCERIES,Tom,5.99,7.0
2891,HEALTH CARE,Advil Pain Reliever,3.59,31.0
2892,HEALTH CARE,Advil Pm Pain Reliever,5.09,0.0
2893,HEALTH & MEDICINE,Advil Pm Pain Reliever,10.99,0.0
2894,BREAD & BAKERY,Google Ga00639-Us,195.98,33.0
2895,nan,Sensodyne Repair,14.29,
2896,nan,Nature,5.04,
2897,nan,Coco Joy,2.88,
2898,COOKIES,Kellogg,3.79,318.0
2899,DAIRY,Cheez-It Cheese Crackers,2.54,894.0
2900,SNACKS & CANDY,Pringles Potato Crisps Chips,1.74,466.0
2901,COOKIES,Smartypants Prenatal,20.99,164.0
2902,COOKIES,Kellogg,4.04,89.0
2903,COOKIES,Kellogg,4.04,89.0
2904,nan,Kellogg,3.54,40.0
2905,nan,Orgain Grass Fed Hydrolyzed Collagen Peptides Protein Powder,23.19,10.0
2906,nan,Propel Watermelon,1.0,
2907,SNACKS & CANDY,Pringles Potato Crisps Chips,1.74,466.0
2908,nan,Excedrin Migraine Pain Relief Caplets,3.69,
2909,nan,Bull Energy Drink,8.87,
2910,nan,Diet Dr Pepper Soda,10.18,
2911,nan,Polar Beverages,0.98,
2912,GROCERIES,Trident Spearmint Sugar Free Gum,3.49,0.0
2913,nan,Sage Spray Deodorant,12.49,
2914,nan,Caffeine-Free,2.88,
2915,HOUSEHOLD,Febreze Odor-Eliminating,4.49,84.0
2916,nan,Lemon Lime Soda Pop,1.0,
2917,nan,Propel Watermelon Flavored Enhanced,5.98,
2918,GROCERIES,Tide Liquid Laundry Detergent,12.99,946.0
2919,nan,Zero Sugar Lemon Lime Soda,2.88,
2920,nan,Kind Bars,10.79,
2921,SNACKS & CANDY,Pringles Potato Crisps Chips,1.74,466.0
2922,nan,Sunkist Orange Soda Pop,46.43,
2923,nan,Smoothing Castor,10.79,
2924,MEAT & SEAFOOD,Style Beef Meatballs,6.99,1.0
2925,BEVERAGES,Olay Deep Hydration Serum,35.99,137.0
2926,DAIRY,Orgain Organic,19.59,94.0
2927,COOKIES,Ultra Care Mint Tea Tree Toothpaste,5.89,29.0
2928,PERSONAL CARE,Sensodyne Extra Whitening Sensitive Toothpaste,14.99,0.0
2929,nan,Organic Lactose Free Whole Milk,4.99,
2930,GROCERIES,Clinical Strength Smooth,8.99,185.0
2931,HEALTH & MEDICINE,Preparation H Hemorrhoid Relief Ointment Tube,12.49,214.0
2932,DAIRY,Organic Vanilla,4.99,1.0
2933,nan,Peanut Butter Core Crisps,3.99,9.0
2934,COOKIES,Stuff,2.29,1.0
2935,BABY ITEMS,Relaxing,2.59,2.0
2936,HEALTH CARE,Advil Pm Pain Reliever,5.09,0.0
2937,nan,Sunkist Orange Soda,2.88,
2938,nan,Primal Snack Mates® Kids Gluten-Free,4.99,
2939,GROCERIES,Clinical Strength Smooth,8.99,185.0
2940,COOKIES,Vegan Coffee Pound Cake,6.39,1.0
2941,nan,Rc Cola Soda,18.2,
2942,GROCERIES,Gillette Skinguard Men,22.99,129.0
2943,nan,Polar Seltzer,2.94,
2944,nan,Spearmint Toothpaste,5.49,3.0
2945,BEVERAGES,Tampax Pearl,10.99,116.0
2946,nan,Bull Energy Drink,8.87,
2947,nan,Pepsi Cola Soda Pop,12.0,
2948,nan,Lipton,2.48,
2949,HEALTH CARE,Advil Pain Reliever,3.59,31.0
2950,GROCERIES,Zarbee,8.99,389.0
2951,nan,Caffeine-Free,48.63,
2952,PANTRY,Cinnamon Toast,5.99,47.0
